level1,level2,level3,level4,level1_description,level2_description,level3_description,level4_description
C,C09,C09B,C09BA,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ACE INHIBITORS, COMBINATIONS",ACE inhibitors and diuretics
G,G02,G02A,G02AB,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,UTEROTONICS,Ergot alkaloids
A,A10,A10B,A10BJ,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",Glucagon-like peptide-1 (GLP-1) analogues
M,M05,M05B,M05BX,MUSCULO-SKELETAL SYSTEM,DRUGS FOR TREATMENT OF BONE DISEASES,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,Other drugs affecting bone structure and mineralization
C,C03,C03C,C03CA,CARDIOVASCULAR SYSTEM,DIURETICS,HIGH-CEILING DIURETICS,"Sulfonamides, plain"
C,C08,C08C,C08CA,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH MAINLY VASCULAR EFFECTS,Dihydropyridine derivatives
G,G04,G04B,G04BX,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Other urologicals
D,D04,D04A,D04AB,DERMATOLOGICALS,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.","ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",Anesthetics for topical use
S,S01,S01K,S01KX,SENSORY ORGANS,OPHTHALMOLOGICALS,SURGICAL AIDS,Other surgical aids
D,D07,D07B,D07BA,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS","Corticosteroids, weak, combinations with antiseptics"
A,A10,A10A,A10AD,ALIMENTARY TRACT AND METABOLISM,DRUGS USED IN DIABETES,INSULINS AND ANALOGUES,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting"
C,C08,C08D,C08DB,CARDIOVASCULAR SYSTEM,CALCIUM CHANNEL BLOCKERS,SELECTIVE CALCIUM CHANNEL BLOCKERS WITH DIRECT CARDIAC EFFECTS,Benzothiazepine derivatives
D,D05,D05B,D05BX,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR SYSTEMIC USE,Other antipsoriatics for systemic use
H,H02,H02A,H02AA,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",CORTICOSTEROIDS FOR SYSTEMIC USE,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",Mineralocorticoids
L,L02,L02A,L02AA,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONES AND RELATED AGENTS,Estrogens
A,A12,A12C,A12CE,ALIMENTARY TRACT AND METABOLISM,MINERAL SUPPLEMENTS,OTHER MINERAL SUPPLEMENTS,Selenium
C,C01,C01E,C01EA,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,OTHER CARDIAC PREPARATIONS,Prostaglandins
L,L01,L01D,L01DC,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES,Other cytotoxic antibiotics
L,L01,L01A,L01AG,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,Epoxides
M,M01,M01C,M01CC,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,SPECIFIC ANTIRHEUMATIC AGENTS,Penicillamine and similar agents
V,V08,V08D,V08DA,VARIOUS,CONTRAST MEDIA,ULTRASOUND CONTRAST MEDIA,Ultrasound contrast media
M,M01,M01A,M01AC,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",Oxicams
H,H01,H01A,H01AC,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Somatropin and somatropin agonists
P,P01,P01B,P01BA,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,Aminoquinolines
B,B05,B05C,B05CB,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,IRRIGATING SOLUTIONS,Salt solutions
P,P01,P01B,P01BD,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,Diaminopyrimidines
A,A07,A07E,A07EC,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFLAMMATORY AGENTS,Aminosalicylic acid and similar agents
G,G01,G01A,G01AG,GENITO URINARY SYSTEM AND SEX HORMONES,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",Triazole derivatives
C,C01,C01B,C01BC,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,"ANTIARRHYTHMICS, CLASS I AND III","Antiarrhythmics, class Ic"
B,B02,B02B,B02BA,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,Vitamin K
N,N07,N07B,N07BA,NERVOUS SYSTEM,OTHER NERVOUS SYSTEM DRUGS,DRUGS USED IN ADDICTIVE DISORDERS,Drugs used in nicotine dependence
N,N03,N03A,N03AD,NERVOUS SYSTEM,ANTIEPILEPTICS,ANTIEPILEPTICS,Succinimide derivatives
V,V09,V09F,V09FX,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,THYROID,Various thyroid diagnostic radiopharmaceuticals
C,C01,C01A,C01AX,CARDIOVASCULAR SYSTEM,CARDIAC THERAPY,CARDIAC GLYCOSIDES,Other cardiac glycosides
N,N04,N04B,N04BX,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,DOPAMINERGIC AGENTS,Other dopaminergic agents
R,R03,R03B,R03BB,RESPIRATORY SYSTEM,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",Anticholinergics
S,S01,S01X,S01XA,SENSORY ORGANS,OPHTHALMOLOGICALS,OTHER OPHTHALMOLOGICALS,Other ophthalmologicals
G,G03,G03B,G03BB,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANDROGENS,5-androstanon (3) derivatives
R,R06,R06A,R06AD,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Phenothiazine derivatives
M,M04,M04A,M04AX,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,Other antigout preparations
M,M01,M01C,M01CB,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,SPECIFIC ANTIRHEUMATIC AGENTS,Gold preparations
A,A03,A03B,A03BA,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"BELLADONNA AND DERIVATIVES, PLAIN","Belladonna alkaloids, tertiary amines"
S,S01,S01E,S01ED,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,Beta blocking agents 1)
L,L03,L03A,L03AX,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,IMMUNOSTIMULANTS,IMMUNOSTIMULANTS,Other immunostimulants
M,M09,M09A,M09AX,MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,Other drugs for disorders of the musculo-skeletal system
N,N05,N05A,N05AN,NERVOUS SYSTEM,PSYCHOLEPTICS,ANTIPSYCHOTICS,Lithium
V,V04,V04C,V04CC,VARIOUS,DIAGNOSTIC AGENTS,OTHER DIAGNOSTIC AGENTS,Tests for bile duct patency
V,V09,V09X,V09XX,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,OTHER DIAGNOSTIC RADIOPHARMACEUTICALS,Various diagnostic radiopharmaceuticals
V,V08,V08C,V08CB,VARIOUS,CONTRAST MEDIA,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,Superparamagnetic contrast media
V,V08,V08A,V08AA,VARIOUS,CONTRAST MEDIA,"X-RAY CONTRAST MEDIA, IODINATED","Watersoluble, nephrotropic, high osmolar X-ray contrast media"
G,G03,G03G,G03GB,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,GONADOTROPINS AND OTHER OVULATION STIMULANTS,"Ovulation stimulants, synthetic"
G,G02,G02B,G02BA,GENITO URINARY SYSTEM AND SEX HORMONES,OTHER GYNECOLOGICALS,CONTRACEPTIVES FOR TOPICAL USE,Intrauterine contraceptives
A,A01,A01A,A01AB,ALIMENTARY TRACT AND METABOLISM,STOMATOLOGICAL PREPARATIONS,STOMATOLOGICAL PREPARATIONS,Antiinfectives and antiseptics for local oral treatment
A,A04,A04A,A04AD,ALIMENTARY TRACT AND METABOLISM,ANTIEMETICS AND ANTINAUSEANTS,ANTIEMETICS AND ANTINAUSEANTS,Other antiemetics
C,C03,C03D,C03DB,CARDIOVASCULAR SYSTEM,DIURETICS,POTASSIUM-SPARING AGENTS,Other potassium-sparing agents
H,H03,H03B,H03BB,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,ANTITHYROID PREPARATIONS,Sulfur-containing imidazole derivatives
D,D11,D11A,D11AC,DERMATOLOGICALS,OTHER DERMATOLOGICAL PREPARATIONS,OTHER DERMATOLOGICAL PREPARATIONS,Medicated shampoos
J,J01,J01E,J01EB,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,SULFONAMIDES AND TRIMETHOPRIM,Short-acting sulfonamides
C,C02,C02A,C02AC,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",Imidazoline receptor agonists
C,C02,C02D,C02DC,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON",Pyrimidine derivatives
C,C07,C07F,C07FB,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,"BETA BLOCKING AGENTS, OTHER COMBINATIONS",Beta blocking agents and calcium channel blockers
J,J01,J01G,J01GB,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,AMINOGLYCOSIDE ANTIBACTERIALS,Other aminoglycosides
N,N01,N01A,N01AF,NERVOUS SYSTEM,ANESTHETICS,"ANESTHETICS, GENERAL","Barbiturates, plain"
A,A11,A11H,A11HA,ALIMENTARY TRACT AND METABOLISM,VITAMINS,OTHER PLAIN VITAMIN PREPARATIONS,Other plain vitamin preparations
J,J01,J01A,J01AA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,TETRACYCLINES,Tetracyclines
P,P01,P01B,P01BE,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,ANTIMALARIALS,"Artemisinin and derivatives, plain"
S,S01,S01G,S01GX,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,Other antiallergics
D,D08,D08A,D08AA,DERMATOLOGICALS,ANTISEPTICS AND DISINFECTANTS,ANTISEPTICS AND DISINFECTANTS,Acridine derivatives
V,V08,V08C,V08CX,VARIOUS,CONTRAST MEDIA,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,Other magnetic resonance imaging contrast media
D,D03,D03B,D03BA,DERMATOLOGICALS,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,ENZYMES,Proteolytic enzymes
A,A11,A11C,A11CA,ALIMENTARY TRACT AND METABOLISM,VITAMINS,"VITAMIN A AND D, INCL. COMBINATIONS OF THE TWO","Vitamin A, plain"
G,G03,G03A,G03AD,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,Emergency contraceptives
G,G03,G03H,G03HA,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANTIANDROGENS,"Antiandrogens, plain"
J,J07,J07B,J07BB,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Influenza vaccines
N,N05,N05B,N05BC,NERVOUS SYSTEM,PSYCHOLEPTICS,ANXIOLYTICS,Carbamates
V,V09,V09H,V09HA,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,INFLAMMATION AND INFECTION DETECTION,Technetium (99mTc) compounds
J,J01,J01F,J01FG,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Streptogramins
M,M05,M05B,M05BB,MUSCULO-SKELETAL SYSTEM,DRUGS FOR TREATMENT OF BONE DISEASES,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,"Bisphosphonates, combinations"
H,H03,H03B,H03BA,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,ANTITHYROID PREPARATIONS,Thiouracils
R,R06,R06A,R06AC,RESPIRATORY SYSTEM,ANTIHISTAMINES FOR SYSTEMIC USE,ANTIHISTAMINES FOR SYSTEMIC USE,Substituted ethylene diamines
C,C07,C07A,C07AB,CARDIOVASCULAR SYSTEM,BETA BLOCKING AGENTS,BETA BLOCKING AGENTS,"Beta blocking agents, selective"
M,M05,M05B,M05BC,MUSCULO-SKELETAL SYSTEM,DRUGS FOR TREATMENT OF BONE DISEASES,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,Bone morphogenetic proteins
R,R05,R05F,R05FB,RESPIRATORY SYSTEM,COUGH AND COLD PREPARATIONS,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",Other cough suppressants and expectorants
V,V03,V03A,V03AZ,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Nerve depressants
D,D10,D10A,D10AD,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,Retinoids for topical use in acne
N,N05,N05C,N05CM,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,Other hypnotics and sedatives
P,P01,P01C,P01CX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST LEISHMANIASIS AND TRYPANOSOMIASIS,Other agents against leishmaniasis and trypanosomiasis
P,P02,P02C,P02CE,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTHELMINTICS,ANTINEMATODAL AGENTS,Imidazothiazole derivatives
G,G03,G03A,G03AC,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,Progestogens
V,V03,V03A,V03AX,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Other therapeutic products
D,D06,D06B,D06BX,DERMATOLOGICALS,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,CHEMOTHERAPEUTICS FOR TOPICAL USE,Other chemotherapeutics
V,V08,V08C,V08CA,VARIOUS,CONTRAST MEDIA,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,Paramagnetic contrast media
G,G03,G03H,G03HB,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ANTIANDROGENS,Antiandrogens and estrogens
J,J01,J01X,J01XC,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER ANTIBACTERIALS,Steroid antibacterials
J,J01,J01D,J01DD,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,OTHER BETA-LACTAM ANTIBACTERIALS,Third-generation cephalosporins
J,J07,J07B,J07BC,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Hepatitis vaccines
N,N02,N02C,N02CB,NERVOUS SYSTEM,ANALGESICS,ANTIMIGRAINE PREPARATIONS,Corticosteroid derivatives
P,P01,P01A,P01AX,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,Other agents against amoebiasis and other protozoal diseases
D,D05,D05A,D05AD,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR TOPICAL USE,Psoralens for topical use
J,J01,J01R,J01RA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,COMBINATIONS OF ANTIBACTERIALS,Combinations of antibacterials
M,M03,M03A,M03AX,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS","Other muscle relaxants, peripherally acting agents"
J,J06,J06B,J06BB,ANTIINFECTIVES FOR SYSTEMIC USE,IMMUNE SERA AND IMMUNOGLOBULINS,IMMUNOGLOBULINS,Specific immunoglobulins
P,P01,P01A,P01AC,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",ANTIPROTOZOALS,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES,Dichloroacetamide derivatives
A,A06,A06A,A06AG,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR CONSTIPATION,DRUGS FOR CONSTIPATION,Enemas
A,A03,A03A,A03AB,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, quaternary ammonium compounds"
D,D03,D03A,D03AX,DERMATOLOGICALS,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,CICATRIZANTS,Other cicatrizants
S,S01,S01B,S01BC,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS,"Antiinflammatory agents, non-steroids"
H,H01,H01A,H01AB,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,Thyrotropin
J,J07,J07A,J07AG,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Hemophilus influenzae B vaccines
A,A05,A05A,A05AA,ALIMENTARY TRACT AND METABOLISM,BILE AND LIVER THERAPY,BILE THERAPY,Bile acids and derivatives
D,D07,D07C,D07CA,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS","Corticosteroids, weak, combinations with antibiotics"
M,M03,M03A,M03AB,MUSCULO-SKELETAL SYSTEM,MUSCLE RELAXANTS,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",Choline derivatives
J,J07,J07B,J07BK,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,VIRAL VACCINES,Varicella zoster vaccines
S,S01,S01E,S01EA,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,Sympathomimetics in glaucoma therapy 1)
S,S01,S01G,S01GA,SENSORY ORGANS,OPHTHALMOLOGICALS,DECONGESTANTS AND ANTIALLERGICS,Sympathomimetics used as decongestants
D,D09,D09A,D09AA,DERMATOLOGICALS,MEDICATED DRESSINGS,MEDICATED DRESSINGS,Medicated dressings with antiinfectives
A,A03,A03A,A03AA,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"Synthetic anticholinergics, esters with tertiary amino group"
C,C09,C09D,C09DB,CARDIOVASCULAR SYSTEM,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS",Angiotensin II antagonists and calcium channel blockers
S,S01,S01C,S01CB,SENSORY ORGANS,OPHTHALMOLOGICALS,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION,Corticosteroids/antiinfectives/mydriatics in combination
L,L01,L01B,L01BB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ANTIMETABOLITES,Purine analogues
C,C03,C03X,C03XA,CARDIOVASCULAR SYSTEM,DIURETICS,OTHER DIURETICS,Vasopressin antagonists
G,G04,G04B,G04BA,GENITO URINARY SYSTEM AND SEX HORMONES,UROLOGICALS,UROLOGICALS,Acidifiers
B,B05,B05X,B05XX,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,I.V. SOLUTION ADDITIVES,Other i.v. solution additives
M,M04,M04A,M04AA,MUSCULO-SKELETAL SYSTEM,ANTIGOUT PREPARATIONS,ANTIGOUT PREPARATIONS,Preparations inhibiting uric acid production
N,N04,N04A,N04AC,NERVOUS SYSTEM,ANTI-PARKINSON DRUGS,ANTICHOLINERGIC AGENTS,Ethers of tropine or tropine derivatives
J,J05,J05A,J05AH,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIVIRALS FOR SYSTEMIC USE,DIRECT ACTING ANTIVIRALS,Neuraminidase inhibitors
M,M01,M01C,M01CA,MUSCULO-SKELETAL SYSTEM,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,SPECIFIC ANTIRHEUMATIC AGENTS,Quinolines
D,D07,D07C,D07CC,DERMATOLOGICALS,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS","CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS","Corticosteroids, potent, combinations with antibiotics"
B,B05,B05C,B05CA,BLOOD AND BLOOD FORMING ORGANS,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,IRRIGATING SOLUTIONS,Antiinfectives
H,H03,H03B,H03BX,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",THYROID THERAPY,ANTITHYROID PREPARATIONS,Other antithyroid preparations
V,V03,V03A,V03AB,VARIOUS,ALL OTHER THERAPEUTIC PRODUCTS,ALL OTHER THERAPEUTIC PRODUCTS,Antidotes
L,L01,L01A,L01AA,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,Nitrogen mustard analogues
A,A03,A03C,A03CA,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,ANTISPASMODICS IN COMBINATION WITH PSYCHOLEPTICS,Synthetic anticholinergic agents in combination with psycholeptics
A,A07,A07A,A07AB,ALIMENTARY TRACT AND METABOLISM,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS",INTESTINAL ANTIINFECTIVES,Sulfonamides
J,J07,J07A,J07AM,ANTIINFECTIVES FOR SYSTEMIC USE,VACCINES,BACTERIAL VACCINES,Tetanus vaccines
D,D05,D05A,D05AC,DERMATOLOGICALS,ANTIPSORIATICS,ANTIPSORIATICS FOR TOPICAL USE,Antracen derivatives
G,G03,G03C,G03CA,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,ESTROGENS,"Natural and semisynthetic estrogens, plain"
L,L02,L02B,L02BB,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ENDOCRINE THERAPY,HORMONE ANTAGONISTS AND RELATED AGENTS,Anti-androgens
D,D10,D10A,D10AE,DERMATOLOGICALS,ANTI-ACNE PREPARATIONS,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,Peroxides
V,V06,V06D,V06DC,VARIOUS,GENERAL NUTRIENTS,OTHER NUTRIENTS,Carbohydrates
G,G03,G03F,G03FB,GENITO URINARY SYSTEM AND SEX HORMONES,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,PROGESTOGENS AND ESTROGENS IN COMBINATION,"Progestogens and estrogens, sequential preparations"
J,J01,J01F,J01FA,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIBACTERIALS FOR SYSTEMIC USE,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",Macrolides
J,J02,J02A,J02AC,ANTIINFECTIVES FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,ANTIMYCOTICS FOR SYSTEMIC USE,Triazole derivatives
L,L01,L01A,L01AX,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,ANTINEOPLASTIC AGENTS,ALKYLATING AGENTS,Other alkylating agents
A,A03,A03B,A03BB,ALIMENTARY TRACT AND METABOLISM,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,"BELLADONNA AND DERIVATIVES, PLAIN","Belladonna alkaloids, semisynthetic, quaternary ammonium compounds"
N,N02,N02A,N02AD,NERVOUS SYSTEM,ANALGESICS,OPIOIDS,Benzomorphan derivatives
B,B02,B02B,B02BX,BLOOD AND BLOOD FORMING ORGANS,ANTIHEMORRHAGICS,VITAMIN K AND OTHER HEMOSTATICS,Other systemic hemostatics
B,B03,B03B,B03BB,BLOOD AND BLOOD FORMING ORGANS,ANTIANEMIC PREPARATIONS,VITAMIN B12 AND FOLIC ACID,Folic acid and derivatives
C,C04,C04A,C04AE,CARDIOVASCULAR SYSTEM,PERIPHERAL VASODILATORS,PERIPHERAL VASODILATORS,Ergot alkaloids
C,C10,C10B,C10BX,CARDIOVASCULAR SYSTEM,LIPID MODIFYING AGENTS,"LIPID MODIFYING AGENTS, COMBINATIONS","HMG CoA reductase inhibitors, other combinations"
H,H01,H01C,H01CC,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,HYPOTHALAMIC HORMONES,Anti-gonadotropin-releasing hormones
V,V09,V09I,V09IB,VARIOUS,DIAGNOSTIC RADIOPHARMACEUTICALS,TUMOUR DETECTION,Indium (111In) compounds
C,C02,C02B,C02BA,CARDIOVASCULAR SYSTEM,ANTIHYPERTENSIVES,"ANTIADRENERGIC AGENTS, GANGLION-BLOCKING",Sulfonium derivatives
N,N05,N05C,N05CF,NERVOUS SYSTEM,PSYCHOLEPTICS,HYPNOTICS AND SEDATIVES,Benzodiazepine related drugs
